account_name,account_type,industry,city,country,website,main_phone,owner,status,notes
Zamil Offshore Construction Ltd,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Sadara Chemical Company,Prospect / Customer,Petrochemical,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Maaden Aluminium Company,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Tasnee,Prospect / Customer,Petrochemical,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
ALLIED TRADING COMPANY LLC,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
RAPCO Group,Prospect / Customer,Power & Water,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Taaheel Environmental Service Factory Company,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Inferred from End User
National Gas - SADARA,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
KSB Pumps Arabia Ltd,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
SAUDI PLASTIC PRODUCTS COMPANY (SAPPCO),Prospect / Customer,Power & Water,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Clariant Tammimi,Prospect / Customer,Chemical,,Saudi Arabia,,,,Active,Migrated from pipeline; Inferred from End User
RAPPCO,Prospect / Customer,Power & Water,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Gas Arabia,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Tihama Power Generation Co Ltd,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Gas Arabian Services Co,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
WTTCO,Prospect / Customer,Power & Water,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
NEOM,Prospect / Customer,Power & Water,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Inferred from End User
Alderly,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,,Active,Migrated from pipeline; Customer Name
Honeywell,Prospect / Customer,Petrochemical,,Saudi Arabia,,,Shady Moussa,Active,Migrated from pipeline; Customer Name
Enerfac Solutions Limited,Prospect / Customer,Oil & Gas,,Saudi Arabia,,,Ahmed Al Bojbarah,Active,Migrated from pipeline; Inferred from End User
